,id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity,solar_system_name,planet_discovery_method,host_temperature,host_radius,host_mass,right_ascension,declination
4732,4732,TOI-451 b,404.0,4.31 Earths,10.939,2020,Super Earth,1.91 x Earth,0.0283 AU,1.9 days,0.0,TOI-942,Transit,4928.0,1.02,0.79,05h06m35.91s,-20d14m44.21s
4733,4733,TOI-451 c,404.0,9.8 Earths,10.939,2020,Neptune-like,0.277 x Jupiter,0.0823 AU,9.2 days,0.0,TOI-954,Transit,5710.0,1.89,1.2,04h07m45.85s,-25d12m31.69s
4734,4734,TOI-451 d,404.0,15.6 Earths,10.939,2020,Neptune-like,0.363 x Jupiter,0.1208 AU,16.4 days,0.0,TRAPPIST-1,Transit,2566.0,0.12,0.09,23h06m30.33s,-05d02m36.46s
4735,4735,TOI-481 b,585.0,1.53 Jupiters,9.972,2020,Gas Giant,0.99 x Jupiter,0.097 AU,10.3 days,0.15,TRAPPIST-1,Transit,2566.0,0.12,0.09,23h06m30.33s,-05d02m36.46s
4736,4736,TOI-500 b,155.0,1.65 Earths,10.54,2022,Super Earth,1.16 x Earth,0.0128 AU,0.5 days,0.0,TRAPPIST-1,Transit,2566.0,0.12,0.09,23h06m30.33s,-05d02m36.46s
4737,4737,TOI-519 b,377.0,14 Jupiters,17.35,2021,Gas Giant,1.07 x Jupiter,0.012 AU,1.3 days,0.0,TRAPPIST-1,Transit,2566.0,0.12,0.09,23h06m30.33s,-05d02m36.46s
4738,4738,TOI-530 b,485.0,0.4 Jupiters,15.403,2021,Gas Giant,0.83 x Jupiter,0.052 AU,6.4 days,0.0,TRAPPIST-1,Transit,2566.0,0.12,0.09,23h06m30.33s,-05d02m36.46s
4739,4739,TOI-532 b,441.0,0.1935 Jupiters,14.413,2021,Gas Giant,0.519 x Jupiter,0.0296 AU,2.3 days,0.0,TRAPPIST-1,Transit,2566.0,0.12,0.09,23h06m30.33s,-05d02m36.46s
4740,4740,TOI-540 b,46.0,0.674 Earths,14.823,2020,Terrestrial,0.903 x Earth,0.01223 AU,1.2 days,0.0,TRAPPIST-1,Transit,2566.0,0.12,0.09,23h06m30.33s,-05d02m36.46s
4741,4741,TOI-544 b,134.0,4.78 Earths,10.777,2022,Super Earth,2.03 x Earth,0.0251 AU,1.5 days,0.0,TYC 0434-04538-1,Radial Velocity,4679.0,9.99,1.04,18h05m21.52s,+02d03m44.20s
4742,4742,TOI-558 b,1313.0,3.61 Jupiters,11.233,2021,Gas Giant,1.086 x Jupiter,0.1291 AU,14.6 days,0.3,TYC 1422-614-1,Radial Velocity,4806.0,6.85,1.15,10h17m06.67s,+19d33m30.26s
4743,4743,TOI-559 b,761.0,6.01 Jupiters,11.091,2021,Gas Giant,1.091 x Jupiter,0.0723 AU,7 days,0.15,TYC 1422-614-1,Radial Velocity,4806.0,6.85,1.15,10h17m06.67s,+19d33m30.26s
4744,4744,TOI-561 b,280.0,1.59 Earths,10.252,2020,Super Earth,1.423 x Earth,0.01055 AU,0.4 days,0.0,TYC 3318-01333-1,Radial Velocity,4776.0,5.9,1.19,03h02m19.82s,+49d44m38.91s
4745,4745,TOI-561 c,280.0,5.4 Earths,10.252,2020,Neptune-like,0.257 x Jupiter,0.08809 AU,10.8 days,0.06,TYC 3667-1280-1,Radial Velocity,5130.0,6.26,1.87,00h51m33.02s,+58d25m34.13s
4746,4746,TOI-561 d,280.0,11.95 Earths,10.252,2020,Super Earth,0.226 x Jupiter,0.1569 AU,25.6 days,0.05,TYC 4282-00605-1,Radial Velocity,4300.0,16.21,0.97,22h55m29.30s,+62d14m21.09s
4747,4747,TOI-561 e,280.0,16 Earths,10.252,2020,Super Earth,0.238 x Jupiter,0.3274 AU,77.2 days,0.06,TYC 8998-760-1,Imaging,4573.0,0.95,1.0,13h25m12.03s,-64d56m20.96s
